InstText,Show,VideoClip,VictimImg,AccusedImg,VictimName,AccusedName,Background,QuestionText,LowAnchor,HighAnchor,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,VidTrials.thisRepN,VidTrials.thisTrialN,VidTrials.thisN,VidTrials.thisIndex,Questions.thisRepN,Questions.thisTrialN,Questions.thisN,Questions.thisIndex,Space1.rt,Space2.rt,RoleText,Show,Total Certainty Ratings,Certainty Status,slider.response,RoleManip Check Answer,slider.rt,enter.rt,QuestionScale.response,QuestionScale.rt,EnterEnd.rt,Participant,date,expName,psychopyVersion,frameRate,
"In this part of the study, you will be watching clips of television shows and making continous assessments about your thoughts regarding one of the characters. 

 Press SPACE to continue.",,,,,,,,,,,0,0,0,0,,,,,,,,,1.2974032000638545,,,,,,,,,,,,,13,2021_Apr_07_0810,Certainty Task-Joy,2021.1.2,59.887447496818794,
"You will first be presented with a little background for the clip - each video you watch will be from a murder mystery show, in which one character has been accused of the crime. 

You will be given information about the accused, the victim, and surrounding context for the video. 


 Press SPACE to continue.",,,,,,,,,,,0,1,1,1,,,,,,,,,1.0522818001918495,,,,,,,,,,,,,13,2021_Apr_07_0810,Certainty Task-Joy,2021.1.2,59.887447496818794,
"You will also be instructed to take on a specific role while watching each video, in that you will be prompted to imagine yourself as having some relationship with the characters in the scene. 
You will be instructed to imagine that you are: 

 -a friend of the accused,

-a friend of the victim, or

 - a detective

While watching the video, please maintain this role. Press SPACE to continue.",,,,,,,,,,,0,2,2,2,,,,,,,,,0.334979800041765,,,,,,,,,,,,,13,2021_Apr_07_0810,Certainty Task-Joy,2021.1.2,59.887447496818794,
"We also ask that while watching the video, you make continuous judgments of your feelings toward the accused. Specifically, we ask you to evaluate how certain you are that the accused is innocent of the crime or guilty of the crime. 

These assessments tend to be flexible, and may shift upon hearing something the character says or seeing something the character does. We ask that you update your assessments at any point where your feelings of certainty of the character's guilt/innocence changes. 

Press SPACE to continue.",,,,,,,,,,,0,3,3,3,,,,,,,,,0.2008923999965191,,,,,,,,,,,,,13,2021_Apr_07_0810,Certainty Task-Joy,2021.1.2,59.887447496818794,
"You can use the left joystick on the controller to indicate how certain you feel in your evaluation. Please push the joystick upwards to indicate feelings that the character is innocent and downwards to indicate feelings that the character is guilty.

Pushing the joystick further up or down indicates that you're feeling more certain of a character's innocence or guilt, respectively.

Press SPACE to continue.",,,,,,,,,,,0,4,4,4,,,,,,,,,0.1802857001312077,,,,,,,,,,,,,13,2021_Apr_07_0810,Certainty Task-Joy,2021.1.2,59.887447496818794,
"The clips you will be watching are sourced from shows that have been streamed or broadcast on television. 
The clips may contain adult themes and graphic language. While these clips will portray a character accused of a violent crime, as well as verbal descriptions of the crime, the crimes themselves will not be shown, nor will any other graphic visual content. 

When you are ready to receive the background information for the first clip, press SPACE.",,,,,,,,,,,0,5,5,5,,,,,,,,,0.22346300026401877,,,,,,,,,,,,,13,2021_Apr_07_0810,Certainty Task-Joy,2021.1.2,59.887447496818794,
