,EmotionExtent,Emotions,Count,hrAvg
0,1,Fearful/Afraid*,89,0.2186431406704545
1,2,Alert/Attentive,1,-0.072067058
2,2,Amused/Interested,3,0.0565133723333333
3,2,Fearful/Afraid,2,0.5345547625
4,2,Fearful/Afraid*,31,0.5092382161333334
5,2,Irritable/Annoyed,2,-0.677537724
6,2,Nervous/Jittery,1,1.261566538
7,2,Tense,2,0.0573875329999999
8,3,Amused/Interested,4,0.2611990833333333
9,3,Disgusted/Grossed Out,1,1.149382114
10,3,Excited/Enthused,1,0.046738127
11,3,Fearful/Afraid,4,0.54255191425
12,3,Fearful/Afraid*,33,0.4354734992424243
13,3,Hostile/Aggressive,1,1.05286006
14,3,Irritable/Annoyed,2,0.1138616865
15,3,Nervous/Jittery,1,0.772323694
16,3,Overwhelmed,1,0.845022418
17,3,Shocked/Surprised,3,0.6920851613333333
18,3,Tense,4,0.2742924077499999
19,4,Alert/Attentive,15,0.5173464940714285
20,4,Amused/Interested,21,0.4467733793333333
21,4,Disgusted/Grossed Out,3,0.6900219923333334
22,4,Excited/Enthused,6,0.6197027135000001
23,4,Fearful/Afraid,14,0.6604918917857143
24,4,Fearful/Afraid*,38,0.6018703577631579
25,4,Irritable/Annoyed,8,0.474474961625
26,4,Nervous/Jittery,17,0.5857147267647059
27,4,Other-disoriented,1,-0.174268409
28,4,Overwhelmed,9,0.42419815325
29,4,Panicked,5,0.8581735030000001
30,4,Shocked/Surprised,5,0.5491254792000001
31,4,Tense,14,0.6342562151428571
32,4,Upset/Distressed,2,0.5474529175
33,5,Alert/Attentive,22,0.3437929243636364
34,5,Amused/Interested,34,0.4747521425588236
35,5,Disgusted/Grossed Out,7,0.3747366835714285
36,5,Excited/Enthused,22,0.381973682
37,5,Fearful/Afraid,14,0.6690498000714287
38,5,Fearful/Afraid*,18,0.1772682972352941
39,5,Irritable/Annoyed,8,0.558128908875
40,5,Nervous/Jittery,16,0.5518701661250001
41,5,Other-Disinterest,1,1.101095571
42,5,Overwhelmed,7,0.8059234624285715
43,5,Panicked,6,0.7895748275000001
44,5,Shocked/Surprised,19,0.9111001676842104
45,5,Tense,19,0.6361231005555555
46,5,Upset/Distressed,4,0.8408848085
47,6,Alert/Attentive,28,0.4458696502222223
48,6,Amused/Interested,27,0.2870377177037037
49,6,Excited/Enthused,18,0.5893683954999999
50,6,Fearful/Afraid,20,0.7120667705789474
51,6,Fearful/Afraid*,7,0.6629605835714285
52,6,Hostile/Aggressive,1,0.991964522
53,6,Irritable/Annoyed,4,0.9913557985
54,6,Nervous/Jittery,17,0.7045055322352942
55,6,Other - at ease,1,0.82391367
56,6,Overwhelmed,6,0.6841137031666668
57,6,Panicked,4,0.8120148342500001
58,6,Shocked/Surprised,14,0.5891784232857142
59,6,Tense,14,0.4126214573571429
60,6,Upset/Distressed,4,0.64471817975
61,7,Alert/Attentive,58,0.6065254248275862
62,7,Amused/Interested,61,0.3215806699508197
63,7,Disgusted/Grossed Out,5,0.7516154394000001
64,7,Excited/Enthused,34,0.2689067637352942
65,7,Fearful/Afraid,16,0.9324827715999998
66,7,Fearful/Afraid*,2,0.4749561645
67,7,Irritable/Annoyed,4,0.917751752
68,7,Nervous/Jittery,18,0.7802460892777777
69,7,Overwhelmed,8,0.7646969718571429
70,7,Panicked,10,0.6752215954000002
71,7,Shocked/Surprised,14,0.4641289620714285
72,7,Tense,25,0.7581673745
73,7,Upset/Distressed,4,0.4066720316666667
