PID,FearRatingAudio,ExpFearConvert,UniqueEvent,AvgHR,HRzScore,Description,Emotions,CodedEmotions,EmotionTypeLimited,EmotionType,EmoTypeCodedNegative,EmotionExtent,RegulationExtent,FearType,FearType
1310,2,2.5,1,80.59,0.1163217,all of us (participants) holding a rope as we entered a segment so we could experience the horror together,Amused/Interested,1,Positive,Positive,Positive,6,4,,
1310,2,2.5,1,80.59,0.1163217,all of us (participants) holding a rope as we entered a segment so we could experience the horror together,Nervous/Jittery,8,Negative,Negative,Negative,6,5,,
1310,2,2.5,1,80.59,0.1163217,all of us (participants) holding a rope as we entered a segment so we could experience the horror together,Fearful/Afraid*,13,,Negative,Negative,5,4,,0
1310,,,2,72.06,-0.94413241,introductory woman talking about drinking blood and hyping up the haunted house before we went in,Nervous/Jittery,8,Negative,Negative,Negative,6,3,,
1310,,,2,72.06,-0.94413241,introductory woman talking about drinking blood and hyping up the haunted house before we went in,Shocked/Surprised,11,Negative,Negative,Negative,7,4,,
1310,,,2,72.06,-0.94413241,introductory woman talking about drinking blood and hyping up the haunted house before we went in,Fearful/Afraid*,13,,Negative,Negative,4,6,,0
1310,2,2.5,3,81.13,0.183454785,room with 3-d glasses provided. all colors came to life and was very exciting,Amused/Interested,1,Positive,Positive,Positive,7,1,,
1310,2,2.5,3,81.13,0.183454785,room with 3-d glasses provided. all colors came to life and was very exciting,Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1310,2,2.5,3,81.13,0.183454785,room with 3-d glasses provided. all colors came to life and was very exciting,Fearful/Afraid*,13,,Negative,Negative,4,1,,0
1310,3,4,4,93.27,1.692706004,walk-through room with short characters wearing all black hoods - walking slowly and mysteriously,Amused/Interested,1,Positive,Positive,Positive,5,4,,
1310,3,4,4,93.27,1.692706004,walk-through room with short characters wearing all black hoods - walking slowly and mysteriously,Fearful/Afraid,5,Negative,Negative,Negative,4,5,,1
1313,2,2.5,342,107.17,0.04461033,There was a part of the penitentiary that had neon paint splatters and we used 4D glasses.,Amused/Interested,1,Positive,Positive,Positive,7,1,,
1313,2,2.5,342,107.17,0.04461033,There was a part of the penitentiary that had neon paint splatters and we used 4D glasses.,Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1313,2,2.5,342,107.17,0.04461033,There was a part of the penitentiary that had neon paint splatters and we used 4D glasses.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1313,2,2.5,5,107.17,0.04461033,There was a hallway with neon paint splatters and a giant spider. It was a skinny hallway.,Alert/Attentive,2,Positive,Positive,,4,1,,
1313,2,2.5,5,107.17,0.04461033,There was a hallway with neon paint splatters and a giant spider. It was a skinny hallway.,Amused/Interested,1,Positive,Positive,Positive,7,1,,
1313,2,2.5,5,107.17,0.04461033,There was a hallway with neon paint splatters and a giant spider. It was a skinny hallway.,Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1313,2,2.5,5,107.17,0.04461033,There was a hallway with neon paint splatters and a giant spider. It was a skinny hallway.,Fearful/Afraid*,13,,Negative,Negative,4,1,,0
1313,2,2.5,6,111.93,0.548603059,There was a school bus with props inside at the beginning of the haunted house.,Alert/Attentive,2,Positive,Positive,,5,1,,
1313,2,2.5,6,111.93,0.548603059,There was a school bus with props inside at the beginning of the haunted house.,Amused/Interested,1,Positive,Positive,Positive,6,1,,
1313,2,2.5,6,111.93,0.548603059,There was a school bus with props inside at the beginning of the haunted house.,Excited/Enthused,3,Positive,Positive,Positive,5,1,,
1313,2,2.5,6,111.93,0.548603059,There was a school bus with props inside at the beginning of the haunted house.,Fearful/Afraid*,13,,Negative,Negative,4,1,,0
1313,1,1,7,108.14,0.14731473,In the center of the penitentiary there was an area that broke off into multiple large hallways. We had to go down that while holding a group rope. The hallway was wide and cast members were walking around.,Amused/Interested,1,Positive,Positive,Positive,6,1,,
1313,1,1,7,108.14,0.14731473,In the center of the penitentiary there was an area that broke off into multiple large hallways. We had to go down that while holding a group rope. The hallway was wide and cast members were walking around.,Excited/Enthused,3,Positive,Positive,Positive,6,1,,
1313,1,1,7,108.14,0.14731473,In the center of the penitentiary there was an area that broke off into multiple large hallways. We had to go down that while holding a group rope. The hallway was wide and cast members were walking around.,Fearful/Afraid*,13,,Negative,Negative,4,1,,0
1313,,,8,100.93,-0.616086022,"At the beginning of the haunted house, a zombie nurse painted a red ""X"" on my cheek.",Amused/Interested,1,Positive,Positive,Positive,7,1,,
1313,,,8,100.93,-0.616086022,"At the beginning of the haunted house, a zombie nurse painted a red ""X"" on my cheek.",Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1313,,,8,100.93,-0.616086022,"At the beginning of the haunted house, a zombie nurse painted a red ""X"" on my cheek.",Fearful/Afraid*,13,,Negative,Negative,1,1,,0
