Emotions,1,2,3,4,5,6,7
Alert/Attentive,,-0.072067058,,0.5173464940714285,0.3437929243636364,0.4458696502222223,0.6065254248275862
Amused/Interested,,0.0565133723333333,0.2611990833333333,0.4467733793333333,0.4747521425588236,0.2870377177037037,0.3215806699508197
Disgusted/Grossed Out,,,1.149382114,0.6900219923333334,0.3747366835714285,,0.7516154394000001
Excited/Enthused,,,0.046738127,0.6197027135000001,0.381973682,0.5893683954999999,0.2689067637352942
Fearful/Afraid,,0.5345547625,0.54255191425,0.6604918917857143,0.6690498000714287,0.7120667705789474,0.9324827715999998
Fearful/Afraid*,0.2186431406704545,0.5092382161333334,0.4354734992424243,0.6018703577631579,0.1772682972352941,0.6629605835714285,0.4749561645
Hostile/Aggressive,,,1.05286006,,,0.991964522,
Irritable/Annoyed,,-0.677537724,0.1138616865,0.474474961625,0.558128908875,0.9913557985,0.917751752
Nervous/Jittery,,1.261566538,0.772323694,0.5857147267647059,0.5518701661250001,0.7045055322352942,0.7802460892777777
Overwhelmed,,,0.845022418,0.42419815325,0.8059234624285715,0.6841137031666668,0.7646969718571429
Panicked,,,,0.8581735030000001,0.7895748275000001,0.8120148342500001,0.6752215954000002
Shocked/Surprised,,,0.6920851613333333,0.5491254792000001,0.9111001676842104,0.5891784232857142,0.4641289620714285
Tense,,0.0573875329999999,0.2742924077499999,0.6342562151428571,0.6361231005555555,0.4126214573571429,0.7581673745
Upset/Distressed,,,,0.5474529175,0.8408848085,0.64471817975,0.4066720316666667
