Game,Date,Team,Advantage,Opp,WinLoss,Runs,RunsAllowed,ExtraInnings,W-L,Rank,GamesBack,WinningPitcher,LosingPitcher,Save,Duration,D/N,Attendance,cLI,Streak
1,"Monday, Apr 6",NYM,Away,WSN,W,3,1,, 1-0,1,Tied,Colon,Scherzer,Carlyle,2:35,D,"42,295",1.05,+
2,"Wednesday, Apr 8",NYM,Away,WSN,L,1,2,, 1-1,2,1.5,Zimmermann,deGrom,Storen,2:21,N,"25,999",1.11,-
3,"Thursday, Apr 9",NYM,Away,WSN,W,6,3,, 2-1,2,1,Harvey,Strasburg,,2:54,D,"25,327",1.11,+
4,"Friday, Apr 10",NYM,Away,ATL,L,3,5,, 2-2,2,2,Johnson,Montero,Grilli,3:01,N,"46,279",1.16,-
5,"Saturday, Apr 11",NYM,Away,ATL,L,3,5,, 2-3,3,3,Teheran,Gee,Johnson,2:25,N,"36,056",1.16,--
6,"Sunday, Apr 12",NYM,Away,ATL,W,4,3,, 3-3,2,2,Colon,Jaime,Familia,2:37,D,"28,192",1.08,+
7,"Monday, Apr 13",NYM,Home,PHI,W,2,0,, 4-3,2,2,deGrom,Harang,Familia,2:53,D,"43,947",1.1,++
8,"Tuesday, Apr 14",NYM,Home,PHI,W,6,5,, 5-3,2,1,Harvey,Buchanan,Familia,3:12,N,"39,489",1.17,+++
9,"Wednesday, Apr 15",NYM,Home,PHI,W,6,1,, 6-3,1,Tied,Niese,Williams,,2:36,N,"21,052",1.18,++++
10,"Thursday, Apr 16",NYM,Home,MIA,W,7,5,, 7-3,1,up 0.5,Blevins,Dunn,Familia,3:01,N,"20,556",1.23,+++++
11,"Friday, Apr 17",NYM,Home,MIA,W,4,1,, 8-3,1,up 0.5,Colon,Hand,Familia,2:38,N,"38,753",1.29,++++++
12,"Saturday, Apr 18",NYM,Home,MIA,W,5,4,, 9-3,1,up 1.5,deGrom,Latos,Torres,2:51,N,"41,844",1.22,+++++++
13,"Sunday, Apr 19",NYM,Home,MIA,W,7,6,, 10-3,1,up 1.5,Harvey,Koehler,Familia,2:49,D,"41,234",1.26,++++++++
14,"Tuesday, Apr 21",NYM,Home,ATL,W,7,1,, 11-3,1,up 2.5,Niese,Cahill,,2:41,N,"21,033",1.43,+++++++++
15,"Wednesday, Apr 22",NYM,Home,ATL,W,3,2,, 12-3,1,up 3.5,Carlyle,Johnson,Familia,2:34,N,"20,971",1.54,++++++++++
16,"Thursday, Apr 23",NYM,Home,ATL,W,6,3,,13-3,1,up 4.5,Colon,Teheran,Familia,3:18,D,"23,980",1.48,+++++++++++
17,"Friday, Apr 24",NYM,Away,NYY,L,1,6,,13-4,1,up 4.5,Pineda,deGrom,,2:33,N,"45,310",1.16,-
18,"Saturday, Apr 25",NYM,Away,NYY,W,8,2,,14-4,1,up 4.5,Harvey,Sabathia,,2:45,D,"47,909",1.17,+
19,"Sunday, Apr 26",NYM,Away,NYY,L,4,6,,14-5,1,up 4.5,Shreve,Niese,Miller,2:45,N,"47,510",1.17,-
20,"Monday, Apr 27",NYM,Away,MIA,W,3,1,,15-5,1,up 4.5,Torres,Cishek,Familia,1:58,N,"18,547",1.41,+
21,"Tuesday, Apr 28",NYM,Away,MIA,L,3,4,,15-6,1,up 4.5,Morris,Torres,Cishek,2:46,N,"17,255",1.34,-
22,"Wednesday, Apr 29",NYM,Away,MIA,L,3,7,,15-7,1,up 4.5,Dyson,Colon,,2:54,N,"17,076",1.38,--
23,"Thursday, Apr 30",NYM,Home,WSN,L,2,8,,15-8,1,up 4.5,Strasburg,deGrom,,2:54,N,"21,689",1.36,---
24,"Friday, May 1",NYM,Home,WSN,W,4,0,,16-8,1,up 4.5,Harvey,Scherzer,Familia,2:29,N,"33,178",1.41,+
25,"Saturday, May 2",NYM,Home,WSN,L,0,1,,16-9,1,up 3.5,Gonzalez,Niese,Storen,2:31,N,"39,730",1.41,-
26,"Sunday, May 3",NYM,Home,WSN,L,0,1,,16-10,1,up 3.5,Fister,Gee,Storen,2:55,D,"41,048",1.47,--
27,"Tuesday, May 5",NYM,Home,BAL,W,3,2,,17-10,1,up 4.0,Colon,Norris,Familia,2:19,N,"20,534",1.2,+
28,"Wednesday, May 6",NYM,Home,BAL,W,5,1,,18-10,1,up 4.0,deGrom,Jimenez,,2:52,N,"21,667",1.22,++
29,"Friday, May 8",NYM,Away,PHI,L,1,3,,18-11,1,up 3.5,Hamels,Harvey,Papelbon,2:27,N,"32,734",1.34,-
30,"Saturday, May 9",NYM,Away,PHI,W,3,2,,19-11,1,up 3.5,Niese,Harang,Familia,2:44,N,"29,373",1.37,+
31,"Sunday, May 10",NYM,Away,PHI,W,7,4,,20-11,1,up 3.5,Colon,Billingsley,Familia,2:57,D,"27,935",1.33,++
32,"Monday, May 11",NYM,Away,CHC,L,3,4,,20-12,1,up 2.5,Lester,deGrom,Rondon,2:56,N,"32,980",1.23,-
33,"Tuesday, May 12",NYM,Away,CHC,L,1,6,,20-13,1,up 2.5,Arrieta,Syndergaard,,2:55,N,"31,542",1.3,--
34,"Wednesday, May 13",NYM,Away,CHC,L-wo,1,2,,20-14,1,up 1.5,Rondon,Torres,,2:37,N,"33,709",1.3,---
35,"Thursday, May 14",NYM,Away,CHC,L,5,6,,20-15,1,up 1.5,Strop,Niese,Rondon,2:49,D,"31,496",1.35,----
36,"Friday, May 15",NYM,Home,MIL,L,0,7,,20-16,1,up 0.5,Lohse,Colon,,2:18,N,"27,554",1.28,-----
37,"Saturday, May 16",NYM,Home,MIL,W,14,1,,21-16,1,up 0.5,deGrom,Garza,,2:56,N,"30,208",1.28,+
38,"Sunday, May 17",NYM,Home,MIL,W,5,1,,22-16,1,up 0.5,Syndergaard,Peralta,,2:49,D,"32,422",1.26,++
39,"Monday, May 18",NYM,Home,STL,W-wo,2,1,14,23-16,1,up 1.0,Torres,Tuivailala,,4:14,N,"23,338",1.28,+++
